"The following return values of SSL_connect_APIName can occur, 0, 1, <0",null,"The following return values of SSL_connect_APIName can occur, 0, 1, <0",SSL_connect_APIName initiates the TLS/SSL handshake with a server. The communication channel must already have been set and assigned to the ssl by setting an underlying BIO.
The LHASH code regards table entries as constant data,null,The LHASH code regards table entries as constant data,"The LHASH code regards table entries as constant data. As such, it internally represents lh_insert_APIName'd items with a ""const void *"" pointer type. This is why callbacks such as those used by lh_doall_APIName and lh_doall_arg_APIName declare their prototypes with ""const"", even for the parameters that pass back the table items' data pointers - for consistency, user-provided data is ""const"" at all times as far as the LHASH code is concerned. However, as callers are themselves providing these pointers, they can choose whether they too should be treating all such parameters as constant."
lh_<type>_insert_APIName returns NULL both for success and error,null,lh_<type>_insert_APIName returns NULL both for success and error,lh_<type>_insert_APIName returns NULL both for success and error.
"As such , it internally represents lh_insert_APIName 'd items with a `` const void * '' pointer type",null,"As such, it internally represents lh_insert_APIName'd items with a ""const void *"" pointer type","The LHASH code regards table entries as constant data. As such, it internally represents lh_insert_APIName'd items with a ""const void *"" pointer type. This is why callbacks such as those used by lh_doall_APIName and lh_doall_arg_APIName declare their prototypes with ""const"", even for the parameters that pass back the table items' data pointers - for consistency, user-provided data is ""const"" at all times as far as the LHASH code is concerned. However, as callers are themselves providing these pointers, they can choose whether they too should be treating all such parameters as constant."
"However , as callers are themselves providing these pointers , they can choose",null,"However , as callers are themselves providing these pointers , they can choose ","The LHASH code regards table entries as constant data. As such, it internally represents lh_insert_APIName'd items with a ""const void *"" pointer type. This is why callbacks such as those used by lh_doall_APIName and lh_doall_arg_APIName declare their prototypes with ""const"", even for the parameters that pass back the table items' data pointers - for consistency, user-provided data is ""const"" at all times as far as the LHASH code is concerned. However, as callers are themselves providing these pointers, they can choose whether they too should be treating all such parameters as constant."
SSL_CTX_set_tmp_rsa_APIName sets the temporary/ephemeral RSA key to be used to be SSL_CTX_set_tmp_rsa_APIParam_2,null,SSL_CTX_set_tmp_rsa_APIName sets the temporary/ephemeral RSA key to be used to be SSL_CTX_set_tmp_rsa_APIParam_2,SSL_CTX_set_tmp_rsa_APIName sets the temporary/ephemeral RSA key to be used to be SSL_CTX_set_tmp_rsa_APIParam_2. The key is inherited by all SSL objects newly created from SSL_CTX_set_tmp_rsa_APIParam_1 with <SSL_new_APIName|SSL_new_APIName>. Already created SSL objects are not affected.
Already created SSL objects are not affected,null,Already created SSL objects are not affected,SSL_CTX_set_tmp_rsa_APIName sets the temporary/ephemeral RSA key to be used to be SSL_CTX_set_tmp_rsa_APIParam_2. The key is inherited by all SSL objects newly created from SSL_CTX_set_tmp_rsa_APIParam_1 with <SSL_new_APIName|SSL_new_APIName>. Already created SSL objects are not affected.
The key is inherited by all SSL objects newly created from SSL_CTX_set_tmp_rsa_APIParam_1 with <SSL_new_APIName|SSL_new_APIName | <SSL_new_APIName|SSL_new_APIName >,null,The key is inherited by all SSL objects newly created from SSL_CTX_set_tmp_rsa_APIParam_1 with <SSL_new_APIName|SSL_new_APIName>,SSL_CTX_set_tmp_rsa_APIName sets the temporary/ephemeral RSA key to be used to be SSL_CTX_set_tmp_rsa_APIParam_2. The key is inherited by all SSL objects newly created from SSL_CTX_set_tmp_rsa_APIParam_1 with <SSL_new_APIName|SSL_new_APIName>. Already created SSL objects are not affected.
some entries to be skipped,during the iteration,"When doing this, be careful if you delete entries from the hash table in your callbacks: the table may decrease in size, moving the item that you are currently on down lower in the hash table - this could cause some entries to be skipped during the iteration","When doing this, be careful if you delete entries from the hash table in your callbacks: the table may decrease in size, moving the item that you are currently on down lower in the hash table - this could cause some entries to be skipped during the iteration. The second best solution to this problem is to set hash->down_load=0 before you start (which will stop the hash table ever decreasing in size). The best solution is probably to avoid deleting items from the hash table inside a ""doall"" callback!"
"the table may decrease in size , moving the item that you are currently on down lower in the hash table - this could cause",null,"When doing this, be careful if you delete entries from the hash table in your callbacks: the table may decrease in size, moving the item that you are currently on down lower in the hash table - this could cause some entries to be skipped during the iteration","When doing this, be careful if you delete entries from the hash table in your callbacks: the table may decrease in size, moving the item that you are currently on down lower in the hash table - this could cause some entries to be skipped during the iteration. The second best solution to this problem is to set hash->down_load=0 before you start (which will stop the hash table ever decreasing in size). The best solution is probably to avoid deleting items from the hash table inside a ""doall"" callback!"
The various LHASH macros and callback types exist to make it possible to write type-checked code without resorting to function-prototype casting - an evil that makes application code much harder to audit/verify and also opens the window of opportunity for stack corruption and other hard-to-find bugs,null,The various LHASH macros and callback types exist to make it possible to write type-checked code without resorting to function-prototype casting - an evil that makes application code much harder to audit/verify and also opens the window of opportunity for stack corruption and other hard-to-find bugs,"The various LHASH macros and callback types exist to make it possible to write type-checked code without resorting to function-prototype casting - an evil that makes application code much harder to audit/verify and also opens the window of opportunity for stack corruption and other hard-to-find bugs. It also, apparently, violates ANSI-C."
"Conversely , , they may well wish to make modifications to table item passed back in the lh_doall_APIName or lh_doall_arg_APIName callbacks",if the caller is responsible for the life-time of the data in question,"Conversely, if the caller is responsible for the life-time of the data in question, then they may well wish to make modifications to table item passed back in the lh_doall_APIName or lh_doall_arg_APIName callbacks (see the ""STUFF_cleanup"" example above)","As an example, a hash table may be maintained by code that, for reasons of encapsulation, has only ""const"" access to the data being indexed in the hash table (ie it is returned as ""const"" from elsewhere in their code) - in this case the LHASH prototypes are appropriate as-is. Conversely, if the caller is responsible for the life-time of the data in question, then they may well wish to make modifications to table item passed back in the lh_doall_APIName or lh_doall_arg_APIName callbacks (see the ""STUFF_cleanup"" example above). If so, the caller can either cast the ""const"" away (if they're providing the raw callbacks themselves) or use the macros to declare/implement the wrapper functions without ""const"" types."
f = x ^ m + x ^ k3 + x ^ k2 + x ^ k1 + 1 with m > k3 > k2 > k1 > = 1,null,f(x) = x^m + x^k3 + x^k2 + x^k1 + 1 with m > k3 > k2 > k1 >= 1,f(x) = x^m + x^k3 + x^k2 + x^k1 + 1 with m > k3 > k2 > k1 >= 1
SSL_set_tmp_rsa_callback_APIName sets the callback only for SSL_set_tmp_rsa_APIParam_1 SSL_need_tmp_rsa_APIParam_1,null,SSL_set_tmp_rsa_callback_APIName sets the callback only for SSL_set_tmp_rsa_APIParam_1 SSL_need_tmp_rsa_APIParam_1,SSL_set_tmp_rsa_callback_APIName sets the callback only for SSL_set_tmp_rsa_APIParam_1 SSL_need_tmp_rsa_APIParam_1.
SSL_set_tmp_rsa_APIName sets the key only for SSL_set_tmp_rsa_APIParam_1,null,SSL_set_tmp_rsa_APIName sets the key only for SSL_set_tmp_rsa_APIParam_1,SSL_set_tmp_rsa_APIName sets the key only for SSL_set_tmp_rsa_APIParam_1.
These functions apply to SSL/TLS servers only,null,These functions apply to SSL/TLS servers only,These functions apply to SSL/TLS servers only.
"SSL_CTX_need_tmp_rsa_APIName returns 1, if a temporary/ephemeral RSA key is needed for RSA-based strength-limited 'exportable' ciphersuites because a RSA key with a keysize larger than 512 bits is installed",null,"SSL_CTX_need_tmp_rsa_APIName returns 1, if a temporary/ephemeral RSA key is needed for RSA-based strength-limited 'exportable' ciphersuites because a RSA key with a keysize larger than 512 bits is installed","SSL_CTX_need_tmp_rsa_APIName returns 1, if a temporary/ephemeral RSA key is needed for RSA-based strength-limited 'exportable' ciphersuites because a RSA key with a keysize larger than 512 bits is installed."
"SSL_need_tmp_rsa_APIName returns 1 , if a temporary/ephemeral RSA key is needed , for RSA-based strength-limited ` exportable ' ciphersuites",null,"SSL_need_tmp_rsa_APIName returns 1 , if a temporary/ephemeral RSA key is needed , for RSA-based strength-limited ` exportable ' ciphersuites ","SSL_need_tmp_rsa_APIName returns 1, if a temporary/ephemeral RSA key is needed, for RSA-based strength-limited 'exportable' ciphersuites because a RSA key with a keysize larger than 512 bits is installed."
The downside is that creating a RSA key is computationally expensive,null,The downside is that creating a RSA key is computationally expensive,"Using ephemeral RSA key exchange yields forward secrecy, as the connection can only be decrypted, when the RSA key is known. By generating a temporary RSA key inside the server application that is lost when the application is left, it becomes impossible for an attacker to decrypt past sessions, even if he gets hold of the normal (certified) RSA key, as this key was used for signing only. The downside is that creating a RSA key is computationally expensive."
"Under previous export restrictions , ciphers with RSA keys shorter than the usual key length of 1024 bits were created",null,"Under previous export restrictions, ciphers with RSA keys shorter (512 bits) than the usual key length of 1024 bits were created","Under previous export restrictions, ciphers with RSA keys shorter (512 bits) than the usual key length of 1024 bits were created. To use these ciphers with RSA keys of usual length, an ephemeral key exchange must be performed, as the normal (certified) key cannot be directly used."
"Callers that only have `` const '' access to data they 're indexing in a table , yet declare callbacks without constant types , are creating their own risks/bugs without being encouraged to do so by the API",null,"Callers that only have ""const"" access to data they're indexing in a table, yet declare callbacks without constant types (or cast the ""const"" away themselves), are therefore creating their own risks/bugs without being encouraged to do so by the API","Callers that only have ""const"" access to data they're indexing in a table, yet declare callbacks without constant types (or cast the ""const"" away themselves), are therefore creating their own risks/bugs without being encouraged to do so by the API. On a related note, those auditing code should pay special attention to any instances of DECLARE/IMPLEMENT_LHASH_DOALL_[ARG_]_FN macros that provide types without any ""const"" qualifiers."
the session data are negotiated using the ephemeral/temporary RSA key and the RSA key supplied and certified by the certificate chain is only used for signing,null,In this case the session data are negotiated using the ephemeral/temporary RSA key and the RSA key supplied and certified by the certificate chain is only used for signing,"When using a cipher with RSA authentication, an ephemeral RSA key exchange can take place. In this case the session data are negotiated using the ephemeral/temporary RSA key and the RSA key supplied and certified by the certificate chain is only used for signing."
Using ephemeral RSA key exchange for other purposes violates the standard and can break interoperability with clients,null,Using ephemeral RSA key exchange for other purposes violates the standard and can break interoperability with clients,"Additionally, the use of ephemeral RSA key exchange is only allowed in the TLS standard, when the RSA key can be used for signing only, that is for export ciphers. Using ephemeral RSA key exchange for other purposes violates the standard and can break interoperability with clients. It is therefore strongly recommended to not use ephemeral RSA key exchange and use DHE (Ephemeral Diffie-Hellman) key exchange instead in order to achieve forward secrecy (see SSL_CTX_set_tmp_dh_callback_APIName )."
SSL_CTX_set_tmp_rsa_callback_APIName and SSL_set_tmp_rsa_callback_APIName do not return diagnostic output,null,SSL_CTX_set_tmp_rsa_callback_APIName and SSL_set_tmp_rsa_callback_APIName do not return diagnostic output,SSL_CTX_set_tmp_rsa_callback_APIName and SSL_set_tmp_rsa_callback_APIName do not return diagnostic output.
An application may either directly specify the key or can supply the key via a callback function,null,An application may either directly specify the key or can supply the key via a callback function,"An application may either directly specify the key or can supply the key via a callback function. The callback approach has the advantage, that the callback may generate the key only in case it is actually needed. As the generation of a RSA key is however costly, it will lead to a significant delay in the handshake procedure. Another advantage of the callback function is that it can supply keys of different size while the explicit setting of the key is only useful for key size of 512 bits to satisfy the export restricted ciphers and does give away key length if a longer key would be allowed."
"As an example , a hash table may be maintained by code that , for reasons of encapsulation , has only `` const '' access to the data being indexed in the hash table - the LHASH prototypes are appropriate as-is",null,"As an example, a hash table may be maintained by code that, for reasons of encapsulation, has only ""const"" access to the data being indexed in the hash table (ie it is returned as ""const"" from elsewhere in their code) - in this case the LHASH prototypes are appropriate as-is","As an example, a hash table may be maintained by code that, for reasons of encapsulation, has only ""const"" access to the data being indexed in the hash table (ie it is returned as ""const"" from elsewhere in their code) - in this case the LHASH prototypes are appropriate as-is. Conversely, if the caller is responsible for the life-time of the data in question, then they may well wish to make modifications to table item passed back in the lh_doall_APIName or lh_doall_arg_APIName callbacks (see the ""STUFF_cleanup"" example above). If so, the caller can either cast the ""const"" away (if they're providing the raw callbacks themselves) or use the macros to declare/implement the wrapper functions without ""const"" types."
It is strongly recommended to not use ephemeral RSA key exchange and use DHE key exchange instead,null,It is therefore strongly recommended to not use ephemeral RSA key exchange and use DHE key exchange instead ,"Additionally, the use of ephemeral RSA key exchange is only allowed in the TLS standard, when the RSA key can be used for signing only, that is for export ciphers. Using ephemeral RSA key exchange for other purposes violates the standard and can break interoperability with clients. It is therefore strongly recommended to not use ephemeral RSA key exchange and use DHE (Ephemeral Diffie-Hellman) key exchange instead in order to achieve forward secrecy (see SSL_CTX_set_tmp_dh_callback_APIName )."
"To use these ciphers with RSA keys of usual length , an ephemeral key exchange must be performed , as the normal key can not be directly used",null,"To use these ciphers with RSA keys of usual length, an ephemeral key exchange must be performed, as the normal (certified) key cannot be directly used","Under previous export restrictions, ciphers with RSA keys shorter (512 bits) than the usual key length of 1024 bits were created. To use these ciphers with RSA keys of usual length, an ephemeral key exchange must be performed, as the normal (certified) key cannot be directly used."
SSL_CTX_set_tmp_rsa_APIName and SSL_set_tmp_rsa_APIName do return 1 on success and 0 on failure,null,SSL_CTX_set_tmp_rsa_APIName and SSL_set_tmp_rsa_APIName do return 1 on success and 0 on failure,SSL_CTX_set_tmp_rsa_APIName and SSL_set_tmp_rsa_APIName do return 1 on success and 0 on failure. Check the error queue to find out the reason of failure.
"The callback approach has the advantage , that the callback may generate the key only in case it is actually needed",null,"The callback approach has the advantage, that the callback may generate the key only in case it is actually needed","An application may either directly specify the key or can supply the key via a callback function. The callback approach has the advantage, that the callback may generate the key only in case it is actually needed. As the generation of a RSA key is however costly, it will lead to a significant delay in the handshake procedure. Another advantage of the callback function is that it can supply keys of different size while the explicit setting of the key is only useful for key size of 512 bits to satisfy the export restricted ciphers and does give away key length if a longer key would be allowed."
SSL_CTX_need_tmp_rsa_APIName and SSL_need_tmp_rsa_APIName return 1 if a temporary RSA key is needed and 0 otherwise,null,SSL_CTX_need_tmp_rsa_APIName and SSL_need_tmp_rsa_APIName return 1 if a temporary RSA key is needed and 0 otherwise,SSL_CTX_need_tmp_rsa_APIName and SSL_need_tmp_rsa_APIName return 1 if a temporary RSA key is needed and 0 otherwise.
"Using ephemeral RSA key exchange yields forward secrecy , as the connection can only be decrypted",when the RSA key is known,"Using ephemeral RSA key exchange yields forward secrecy, as the connection can only be decrypted, when the RSA key is known","Using ephemeral RSA key exchange yields forward secrecy, as the connection can only be decrypted, when the RSA key is known. By generating a temporary RSA key inside the server application that is lost when the application is left, it becomes impossible for an attacker to decrypt past sessions, even if he gets hold of the normal (certified) RSA key, as this key was used for signing only. The downside is that creating a RSA key is computationally expensive."
Check the error queue to find out the reason of failure,null,Check the error queue to find out the reason of failure,SSL_CTX_set_tmp_rsa_APIName and SSL_set_tmp_rsa_APIName do return 1 on success and 0 on failure. Check the error queue to find out the reason of failure.
"As the generation of a RSA key is however costly , it will lead to a significant delay in the handshake procedure",null,"As the generation of a RSA key is however costly, it will lead to a significant delay in the handshake procedure","An application may either directly specify the key or can supply the key via a callback function. The callback approach has the advantage, that the callback may generate the key only in case it is actually needed. As the generation of a RSA key is however costly, it will lead to a significant delay in the handshake procedure. Another advantage of the callback function is that it can supply keys of different size while the explicit setting of the key is only useful for key size of 512 bits to satisfy the export restricted ciphers and does give away key length if a longer key would be allowed."
CMS_verify_receipt_APIName returns 1 for a successful verification and zero if an error occurred,null,CMS_verify_receipt_APIName returns 1 for a successful verification and zero if an error occurred,CMS_verify_receipt_APIName returns 1 for a successful verification and zero if an error occurred.
The error can be obtained from ERR_get_error_APIName,null,The error can be obtained from ERR_get_error_APIName,The error can be obtained from ERR_get_error_APIName
"These functions return 1 on success, 0 on error",null,"These functions return 1 on success, 0 on error","These functions return 1 on success, 0 on error."
The output lines are indented by RSA_print_fp_APIParam_3 DSA_print_APIParam_3 RSA_print_APIParam_3 DSA_print_fp_APIParam_3 spaces,null,The output lines are indented by RSA_print_fp_APIParam_3 DSA_print_APIParam_3 RSA_print_APIParam_3 DSA_print_fp_APIParam_3 spaces,The output lines are indented by RSA_print_fp_APIParam_3 DSA_print_APIParam_3 RSA_print_APIParam_3 DSA_print_fp_APIParam_3 spaces.
The file can contain several CA certificates identified by,null,The file can contain several CA certificates identified by,"If SSL_CTX_load_verify_locations_APIParam_2 is not NULL, it points to a file of CA certificates in PEM format. The file can contain several CA certificates identified by"
The SSL_CTX_load_verify_locations_APIParam_2 is processed on execution of the SSL_CTX_load_verify_locations_APIName function,null,The SSL_CTX_load_verify_locations_APIParam_2 is processed on execution of the SSL_CTX_load_verify_locations_APIName function,The SSL_CTX_load_verify_locations_APIParam_2 is processed on execution of the SSL_CTX_load_verify_locations_APIName function.
"Additionally , the use of ephemeral RSA key exchange is only allowed in the TLS standard , , that is for export ciphers",when the RSA key can be used for signing only,"Additionally, the use of ephemeral RSA key exchange is only allowed in the TLS standard, when the RSA key can be used for signing only, that is for export ciphers","Additionally, the use of ephemeral RSA key exchange is only allowed in the TLS standard, when the RSA key can be used for signing only, that is for export ciphers. Using ephemeral RSA key exchange for other purposes violates the standard and can break interoperability with clients. It is therefore strongly recommended to not use ephemeral RSA key exchange and use DHE (Ephemeral Diffie-Hellman) key exchange instead in order to achieve forward secrecy (see SSL_CTX_set_tmp_dh_callback_APIName )."
"Before , between , and after the certificates text is allowed which can be used eg for descriptions of the certificates",null,"Before, between, and after the certificates text is allowed which can be used eg for descriptions of the certificates","sequences. Before, between, and after the certificates text is allowed which can be used eg for descriptions of the certificates."
The following return values can occur,null,The following return values can occur:,The following return values can occur:
it points to a file of CA certificates in PEM format,If SSL_CTX_load_verify_locations_APIParam_2 is not NULL,"If SSL_CTX_load_verify_locations_APIParam_2 is not NULL, it points to a file of CA certificates in PEM format","If SSL_CTX_load_verify_locations_APIParam_2 is not NULL, it points to a file of CA certificates in PEM format. The file can contain several CA certificates identified by"
"This is why callbacks such as those used by lh_doall_APIName and lh_doall_arg_APIName declare their prototypes with `` const '' , even for the parameters that pass back the table items ' data pointers - for consistency , user-provided data is `` const '' at all times as far as the LHASH code is concerned",null,"This is why callbacks such as those used by lh_doall_APIName and lh_doall_arg_APIName declare their prototypes with ""const"", even for the parameters that pass back the table items' data pointers - for consistency, user-provided data is ""const"" at all times as far as the LHASH code is concerned","The LHASH code regards table entries as constant data. As such, it internally represents lh_insert_APIName'd items with a ""const void *"" pointer type. This is why callbacks such as those used by lh_doall_APIName and lh_doall_arg_APIName declare their prototypes with ""const"", even for the parameters that pass back the table items' data pointers - for consistency, user-provided data is ""const"" at all times as far as the LHASH code is concerned. However, as callers are themselves providing these pointers, they can choose whether they too should be treating all such parameters as constant."
Make sure to not have expired certificates mixed with valid ones,null,Make sure to not have expired certificates mixed with valid ones,"If several CA certificates matching the name, key identifier, and serial number condition are available, only the first one will be examined. This may lead to unexpected results if the same CA certificate is available with different expiration dates. If a ""certificate expired"" verification error occurs, no other certificate will be searched. Make sure to not have expired certificates mixed with valid ones."
The operation succeeded,null,The operation succeeded,The operation succeeded.
"A human-readable hexadecimal output of the components of the RSA key , DSA parameters or key or DH parameters is printed to DHparams_print_APIParam_1 DSA_print_APIParam_1 RSA_print_APIParam_1 DSAparams_print_APIParam_1 or RSA_print_fp_APIParam_1 DSAparams_print_fp_APIParam_1 DHparams_print_fp_APIParam_1 DSA_print_fp_APIParam_1",null,"A human-readable hexadecimal output of the components of the RSA key, DSA parameters or key or DH parameters is printed to DHparams_print_APIParam_1 DSA_print_APIParam_1 RSA_print_APIParam_1 DSAparams_print_APIParam_1 or RSA_print_fp_APIParam_1 DSAparams_print_fp_APIParam_1 DHparams_print_fp_APIParam_1 DSA_print_fp_APIParam_1","A human-readable hexadecimal output of the components of the RSA key, DSA parameters or key or DH parameters is printed to DHparams_print_APIParam_1 DSA_print_APIParam_1 RSA_print_APIParam_1 DSAparams_print_APIParam_1 or RSA_print_fp_APIParam_1 DSAparams_print_fp_APIParam_1 DHparams_print_fp_APIParam_1 DSA_print_fp_APIParam_1."
The EVP signature routines are a high level interface to digital signatures,null,The EVP signature routines are a high level interface to digital signatures,The EVP signature routines are a high level interface to digital signatures.
This may lead to unexpected results,if the same CA certificate is available with different expiration dates,This may lead to unexpected results if the same CA certificate is available with different expiration dates,"If several CA certificates matching the name, key identifier, and serial number condition are available, only the first one will be examined. This may lead to unexpected results if the same CA certificate is available with different expiration dates. If a ""certificate expired"" verification error occurs, no other certificate will be searched. Make sure to not have expired certificates mixed with valid ones."
no other certificate will be searched,If a `` certificate expired '' verification error occurs,"If a ""certificate expired"" verification error occurs, no other certificate will be searched","If several CA certificates matching the name, key identifier, and serial number condition are available, only the first one will be examined. This may lead to unexpected results if the same CA certificate is available with different expiration dates. If a ""certificate expired"" verification error occurs, no other certificate will be searched. Make sure to not have expired certificates mixed with valid ones."
EVP_SignInit_ex_APIName sets up signing context EVP_SignInit_ex_APIParam_1 to use digest EVP_SignInit_ex_APIParam_2 from ENGINE EVP_SignInit_ex_APIParam_3,null,EVP_SignInit_ex_APIName sets up signing context EVP_SignInit_ex_APIParam_1 to use digest EVP_SignInit_ex_APIParam_2 from ENGINE EVP_SignInit_ex_APIParam_3,EVP_SignInit_ex_APIName sets up signing context EVP_SignInit_ex_APIParam_1 to use digest EVP_SignInit_ex_APIParam_2 from ENGINE EVP_SignInit_ex_APIParam_3. EVP_SignInit_ex_APIParam_1 must be initialized with EVP_MD_CTX_init_APIName before calling this function.
is lost,when the application is left,"By generating a temporary RSA key inside the server application that is lost when the application is left , it becomes impossible for an attacker to decrypt past sessions , ","Using ephemeral RSA key exchange yields forward secrecy, as the connection can only be decrypted, when the RSA key is known. By generating a temporary RSA key inside the server application that is lost when the application is left, it becomes impossible for an attacker to decrypt past sessions, even if he gets hold of the normal (certified) RSA key, as this key was used for signing only. The downside is that creating a RSA key is computationally expensive."
"By generating a temporary RSA key inside the server application that , it becomes impossible for an attacker to decrypt past sessions",null,"By generating a temporary RSA key inside the server application that is lost when the application is left , it becomes impossible for an attacker to decrypt past sessions , ","Using ephemeral RSA key exchange yields forward secrecy, as the connection can only be decrypted, when the RSA key is known. By generating a temporary RSA key inside the server application that is lost when the application is left, it becomes impossible for an attacker to decrypt past sessions, even if he gets hold of the normal (certified) RSA key, as this key was used for signing only. The downside is that creating a RSA key is computationally expensive."
EVP_SignInit_ex_APIParam_1 must be initialized with EVP_MD_CTX_init_APIName before calling this function,null,EVP_SignInit_ex_APIParam_1 must be initialized with EVP_MD_CTX_init_APIName before calling this function,EVP_SignInit_ex_APIName sets up signing context EVP_SignInit_ex_APIParam_1 to use digest EVP_SignInit_ex_APIParam_2 from ENGINE EVP_SignInit_ex_APIParam_3. EVP_SignInit_ex_APIParam_1 must be initialized with EVP_MD_CTX_init_APIName before calling this function.
EVP_SignUpdate_APIName hashes EVP_SignUpdate_APIParam_3 bytes of data at EVP_SignUpdate_APIParam_2 into the signature context EVP_SignUpdate_APIParam_1,null,EVP_SignUpdate_APIName hashes EVP_SignUpdate_APIParam_3 bytes of data at EVP_SignUpdate_APIParam_2 into the signature context EVP_SignUpdate_APIParam_1,EVP_SignUpdate_APIName hashes EVP_SignUpdate_APIParam_3 bytes of data at EVP_SignUpdate_APIParam_2 into the signature context EVP_SignUpdate_APIParam_1. This function can be called several times on the same EVP_SignUpdate_APIParam_1 to include additional data.
This function can be called several times on the same EVP_SignUpdate_APIParam_1 to include additional data,null,This function can be called several times on the same EVP_SignUpdate_APIParam_1 to include additional data,EVP_SignUpdate_APIName hashes EVP_SignUpdate_APIParam_3 bytes of data at EVP_SignUpdate_APIParam_2 into the signature context EVP_SignUpdate_APIParam_1. This function can be called several times on the same EVP_SignUpdate_APIParam_1 to include additional data.
EVP_SignFinal_APIParam_2 must be at least EVP_PKEY_size bytes in size,null,EVP_SignFinal_APIParam_2 must be at least EVP_PKEY_size(pkey) bytes in size,"EVP_SignFinal_APIName signs the data in EVP_SignFinal_APIParam_1 using the private key EVP_SignFinal_APIParam_4 and places the signature in EVP_SignFinal_APIParam_2. EVP_SignFinal_APIParam_2 must be at least EVP_PKEY_size(pkey) bytes in size. EVP_SignFinal_APIParam_3 is an OUT paramter, and not used as an IN parameter. The number of bytes of data written (ie the length of the signature) will be written to the integer at EVP_SignFinal_APIParam_3, at most EVP_PKEY_size(pkey) bytes will be written."
only the first one will be examined,"If several CA certificates matching the name , key identifier , and serial number condition are available","If several CA certificates matching the name, key identifier, and serial number condition are available, only the first one will be examined","If several CA certificates matching the name, key identifier, and serial number condition are available, only the first one will be examined. This may lead to unexpected results if the same CA certificate is available with different expiration dates. If a ""certificate expired"" verification error occurs, no other certificate will be searched. Make sure to not have expired certificates mixed with valid ones."
EVP_SignFinal_APIName signs the data in EVP_SignFinal_APIParam_1 using the private key EVP_SignFinal_APIParam_4 and places the signature in EVP_SignFinal_APIParam_2,null,EVP_SignFinal_APIName signs the data in EVP_SignFinal_APIParam_1 using the private key EVP_SignFinal_APIParam_4 and places the signature in EVP_SignFinal_APIParam_2,"EVP_SignFinal_APIName signs the data in EVP_SignFinal_APIParam_1 using the private key EVP_SignFinal_APIParam_4 and places the signature in EVP_SignFinal_APIParam_2. EVP_SignFinal_APIParam_2 must be at least EVP_PKEY_size(pkey) bytes in size. EVP_SignFinal_APIParam_3 is an OUT paramter, and not used as an IN parameter. The number of bytes of data written (ie the length of the signature) will be written to the integer at EVP_SignFinal_APIParam_3, at most EVP_PKEY_size(pkey) bytes will be written."
"EVP_SignFinal_APIParam_3 is an OUT paramter , and not used as an IN parameter",null,"EVP_SignFinal_APIParam_3 is an OUT paramter, and not used as an IN parameter","EVP_SignFinal_APIName signs the data in EVP_SignFinal_APIParam_1 using the private key EVP_SignFinal_APIParam_4 and places the signature in EVP_SignFinal_APIParam_2. EVP_SignFinal_APIParam_2 must be at least EVP_PKEY_size(pkey) bytes in size. EVP_SignFinal_APIParam_3 is an OUT paramter, and not used as an IN parameter. The number of bytes of data written (ie the length of the signature) will be written to the integer at EVP_SignFinal_APIParam_3, at most EVP_PKEY_size(pkey) bytes will be written."
EVP_PKEY_size_APIName returns the maximum size of a signature in bytes,null,EVP_PKEY_size_APIName returns the maximum size of a signature in bytes,EVP_PKEY_size_APIName returns the maximum size of a signature in bytes. The actual signature returned by EVP_SignFinal_APIName may be smaller.
The actual signature returned by EVP_SignFinal_APIName may be smaller,null,The actual signature returned by EVP_SignFinal_APIName may be smaller,EVP_PKEY_size_APIName returns the maximum size of a signature in bytes. The actual signature returned by EVP_SignFinal_APIName may be smaller.
EVP_SignInit_APIName initializes a signing context EVP_SignInit_APIParam_1 to use the default implementation of digest EVP_SignInit_APIParam_2,null,EVP_SignInit_APIName initializes a signing context EVP_SignInit_APIParam_1 to use the default implementation of digest EVP_SignInit_APIParam_2,EVP_SignInit_APIName initializes a signing context EVP_SignInit_APIParam_1 to use the default implementation of digest EVP_SignInit_APIParam_2.
"EVP_SignInit_ex_APIName, EVP_SignUpdate_APIName and EVP_SignFinal_APIName return 1 for success and 0 for failure",null,"EVP_SignInit_ex_APIName, EVP_SignUpdate_APIName and EVP_SignFinal_APIName return 1 for success and 0 for failure","EVP_SignInit_ex_APIName, EVP_SignUpdate_APIName and EVP_SignFinal_APIName return 1 for success and 0 for failure."
EVP_PKEY_size_APIName returns the maximum size of a signature in bytes,null,EVP_PKEY_size_APIName returns the maximum size of a signature in bytes,EVP_PKEY_size_APIName returns the maximum size of a signature in bytes.
The error codes can be obtained by ERR_get_error_APIName,null,The error codes can be obtained by ERR_get_error_APIName,The error codes can be obtained by ERR_get_error_APIName .
"The number of bytes of data written will be written to the integer at EVP_SignFinal_APIParam_3 , at most EVP_PKEY_size bytes will be written",null,"The number of bytes of data written (ie the length of the signature) will be written to the integer at EVP_SignFinal_APIParam_3, at most EVP_PKEY_size(pkey) bytes will be written","EVP_SignFinal_APIName signs the data in EVP_SignFinal_APIParam_1 using the private key EVP_SignFinal_APIParam_4 and places the signature in EVP_SignFinal_APIParam_2. EVP_SignFinal_APIParam_2 must be at least EVP_PKEY_size(pkey) bytes in size. EVP_SignFinal_APIParam_3 is an OUT paramter, and not used as an IN parameter. The number of bytes of data written (ie the length of the signature) will be written to the integer at EVP_SignFinal_APIParam_3, at most EVP_PKEY_size(pkey) bytes will be written."
