If the threading mode is Single-thread or Multi-thread this routine returns a NULL pointer,null,If the threading mode is Single-thread or Multi-thread then this routine returns a NULL pointer.,This interface returns a pointer the sqlite3_mutex object that serializes access to the database connection given in the argument when the threading mode is Serialized.If the threading mode is Single-thread or Multi-thread then this routine returns a NULL pointer.
"For an UPDATE or DELETE operation on a rowid table , the sixth parameter passed to the preupdate callback is the initial rowid of the row being modified or deleted",null,"For an UPDATE or DELETE operation on a rowid table, the sixth parameter passed to the preupdate callback is the initial rowid of the row being modified or deleted.","For an UPDATE or DELETE operation on a rowid table, the sixth parameter passed to the preupdate callback is the initial rowid of the row being modified or deleted.For an INSERT operation on a rowid table, or any operation on a WITHOUT ROWID table, the value of the sixth parameter is undefined.For an INSERT or UPDATE on a rowid table the seventh parameter is the final rowid value of the row being inserted or updated.The value of the seventh parameter passed to the callback function is not defined for operations on WITHOUT ROWID tables, or for INSERT operations on rowid tables."
"The value of the seventh parameter passed to the callback function is not defined for operations on WITHOUT ROWID tables , or for INSERT operations on rowid tables",null,"The value of the seventh parameter passed to the callback function is not defined for operations on WITHOUT ROWID tables, or for INSERT operations on rowid tables.","For an UPDATE or DELETE operation on a rowid table, the sixth parameter passed to the preupdate callback is the initial rowid of the row being modified or deleted.For an INSERT operation on a rowid table, or any operation on a WITHOUT ROWID table, the value of the sixth parameter is undefined.For an INSERT or UPDATE on a rowid table the seventh parameter is the final rowid value of the row being inserted or updated.The value of the seventh parameter passed to the callback function is not defined for operations on WITHOUT ROWID tables, or for INSERT operations on rowid tables."
Invoking any of these routines from outside of a preupdate callback or with a database connection pointer that is different from the one supplied to the preupdate callback results in undefined and probably undesirable behavior,null,Invoking any of these routines from outside of a preupdate callback or with a database connection pointer that is different from the one supplied to the preupdate callback results in undefined and probably undesirable behavior.,"The sqlite3_preupdate_old_APIName, sqlite3_preupdate_new_APIName, sqlite3_preupdate_count_APIName, and sqlite3_preupdate_depth_APIName interfaces provide additional information about a preupdate event.These routines may only be called from within a preupdate callback.Invoking any of these routines from outside of a preupdate callback or with a database connection pointer that is different from the one supplied to the preupdate callback results in undefined and probably undesirable behavior."
The second argument must be an index into the aConstraint -LSB- -RSB- array belonging to the sqlite3_index_info structure passed to xBestIndex,null,The second argument must be an index into the aConstraint[] array belonging to the sqlite3_index_info structure passed to xBestIndex.,The first argument must be the sqlite3_index_info object that is the first parameter to the xBestIndex_APIName method.The second argument must be an index into the aConstraint[] array belonging to the sqlite3_index_info structure passed to xBestIndex.sqlite3_vtab_collation_APIName returns a pointer to a buffer containing the name of the collation sequence for the corresponding constraint.
The sqlite3_value that P points to will be destroyed when the preupdate callback returns,null,The sqlite3_value that P points to will be destroyed when the preupdate callback returns.,The sqlite3_preupdate_old_APIName interface writes into sqlite3_preupdate_old_APIParam_3 a pointer to a protected sqlite3_value that contains the value of the Nth column of the table row before it is updated.The N parameter must be between 0 and one less than the number of columns or the behavior will be undefined.This must only be used within SQLITE_UPDATE_API_constant and SQLITE_DELETE_API_constant preupdate callbacks; if it is used by an SQLITE_INSERT_API_constant callback then the behavior is undefined.The sqlite3_value that P points to will be destroyed when the preupdate callback returns.
The sqlite3_value that P points to will be destroyed when the preupdate callback returns,null,The sqlite3_value that P points to will be destroyed when the preupdate callback returns.,The sqlite3_preupdate_new_APIName interface writes into sqlite3_preupdate_new_APIParam_3 a pointer to a protected sqlite3_value that contains the value of the Nth column of the table row after it is updated.The N parameter must be between 0 and one less than the number of columns or the behavior will be undefined.This must only be used within SQLITE_INSERT_API_constant and SQLITE_UPDATE_API_constant preupdate callbacks; if it is used by an SQLITE_DELETE_API_constant callback then the behavior is undefined.The sqlite3_value that P points to will be destroyed when the preupdate callback returns.
See also,null,See also:  sqlite3_update_hook_APIName,See also:  sqlite3_update_hook_APIName
This must only be used within SQLITE_UPDATE_API_constant and SQLITE_DELETE_API_constant preupdate callbacks,null,This must only be used within SQLITE_UPDATE_API_constant and SQLITE_DELETE_API_constant preupdate callbacks; if it is used by an SQLITE_INSERT_API_constant callback then the behavior is undefined.,The sqlite3_preupdate_old_APIName interface writes into sqlite3_preupdate_old_APIParam_3 a pointer to a protected sqlite3_value that contains the value of the Nth column of the table row before it is updated.The N parameter must be between 0 and one less than the number of columns or the behavior will be undefined.This must only be used within SQLITE_UPDATE_API_constant and SQLITE_DELETE_API_constant preupdate callbacks; if it is used by an SQLITE_INSERT_API_constant callback then the behavior is undefined.The sqlite3_value that P points to will be destroyed when the preupdate callback returns.
This must only be used within SQLITE_INSERT_API_constant and SQLITE_UPDATE_API_constant preupdate callbacks,null,This must only be used within SQLITE_INSERT_API_constant and SQLITE_UPDATE_API_constant preupdate callbacks; if it is used by an SQLITE_DELETE_API_constant callback then the behavior is undefined.,The sqlite3_preupdate_new_APIName interface writes into sqlite3_preupdate_new_APIParam_3 a pointer to a protected sqlite3_value that contains the value of the Nth column of the table row after it is updated.The N parameter must be between 0 and one less than the number of columns or the behavior will be undefined.This must only be used within SQLITE_INSERT_API_constant and SQLITE_UPDATE_API_constant preupdate callbacks; if it is used by an SQLITE_DELETE_API_constant callback then the behavior is undefined.The sqlite3_value that P points to will be destroyed when the preupdate callback returns.
The leftmost SQL parameter has an index of 1,null,The leftmost SQL parameter has an index of 1.,"The second argument is the index of the SQL parameter to be set.The leftmost SQL parameter has an index of 1.When the same named SQL parameter is used more than once, second and subsequent occurrences have the same index as the first occurrence.The index for named parameters can be looked up using the sqlite3_bind_parameter_index_APIName API if desired.The index for ""?NNN"" parameters is the value of NNN.The NNN value must be between 1 and the sqlite3_limit_APIName parameter SQLITE_LIMIT_VARIABLE_NUMBER_API_constant (default value: 999)."
The values of these parameters can be set using the sqlite3_bind _ * _ APIName routines defined here,null,"The values of these parameters (also called ""host parameter names"" or ""SQL parameters"") can be set using the sqlite3_bind_*_APIName routines defined here.","In the templates above, NNN represents an integer literal, and VVV represents an alphanumeric identifier.The values of these parameters (also called ""host parameter names"" or ""SQL parameters"") can be set using the sqlite3_bind_*_APIName routines defined here."
"In the templates above , NNN represents an integer literal , and VVV represents an alphanumeric identifier",null,"In the templates above, NNN represents an integer literal, and VVV represents an alphanumeric identifier.","In the templates above, NNN represents an integer literal, and VVV represents an alphanumeric identifier.The values of these parameters (also called ""host parameter names"" or ""SQL parameters"") can be set using the sqlite3_bind_*_APIName routines defined here."
The first argument to the sqlite3_bind_*_APIName routines is always a pointer to the sqlite3_stmt object returned from sqlite3_prepare_v2_APIName or its variants,null,The first argument to the sqlite3_bind_*_APIName routines is always a pointer to the sqlite3_stmt object returned from sqlite3_prepare_v2_APIName or its variants.,The first argument to the sqlite3_bind_*_APIName routines is always a pointer to the sqlite3_stmt object returned from sqlite3_prepare_v2_APIName or its variants.
The index for '' ?,null,"The index for ""?NNN"" parameters is the value of NNN.","The second argument is the index of the SQL parameter to be set.The leftmost SQL parameter has an index of 1.When the same named SQL parameter is used more than once, second and subsequent occurrences have the same index as the first occurrence.The index for named parameters can be looked up using the sqlite3_bind_parameter_index_APIName API if desired.The index for ""?NNN"" parameters is the value of NNN.The NNN value must be between 1 and the sqlite3_limit_APIName parameter SQLITE_LIMIT_VARIABLE_NUMBER_API_constant (default value: 999)."
The second argument is the index of the SQL parameter to be set,null,The second argument is the index of the SQL parameter to be set.,"The second argument is the index of the SQL parameter to be set.The leftmost SQL parameter has an index of 1.When the same named SQL parameter is used more than once, second and subsequent occurrences have the same index as the first occurrence.The index for named parameters can be looked up using the sqlite3_bind_parameter_index_APIName API if desired.The index for ""?NNN"" parameters is the value of NNN.The NNN value must be between 1 and the sqlite3_limit_APIName parameter SQLITE_LIMIT_VARIABLE_NUMBER_API_constant (default value: 999)."
The N parameter must be between 0 and one less than the number of columns or the behavior will be undefined,null,The N parameter must be between 0 and one less than the number of columns or the behavior will be undefined.,The sqlite3_preupdate_new_APIName interface writes into sqlite3_preupdate_new_APIParam_3 a pointer to a protected sqlite3_value that contains the value of the Nth column of the table row after it is updated.The N parameter must be between 0 and one less than the number of columns or the behavior will be undefined.This must only be used within SQLITE_INSERT_API_constant and SQLITE_UPDATE_API_constant preupdate callbacks; if it is used by an SQLITE_DELETE_API_constant callback then the behavior is undefined.The sqlite3_value that P points to will be destroyed when the preupdate callback returns.
The NNN value must be between 1 and the sqlite3_limit_APIName parameter SQLITE_LIMIT_VARIABLE_NUMBER_API_constant,null,The NNN value must be between 1 and the sqlite3_limit_APIName parameter SQLITE_LIMIT_VARIABLE_NUMBER_API_constant (default value: 999).,"The second argument is the index of the SQL parameter to be set.The leftmost SQL parameter has an index of 1.When the same named SQL parameter is used more than once, second and subsequent occurrences have the same index as the first occurrence.The index for named parameters can be looked up using the sqlite3_bind_parameter_index_APIName API if desired.The index for ""?NNN"" parameters is the value of NNN.The NNN value must be between 1 and the sqlite3_limit_APIName parameter SQLITE_LIMIT_VARIABLE_NUMBER_API_constant (default value: 999)."
The third argument is the value to bind to the parameter,null,The third argument is the value to bind to the parameter.,The third argument is the value to bind to the parameter.If the third parameter to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName or sqlite3_bind_blob_APIName is a NULL pointer then the fourth parameter is ignored and the end result is the same as sqlite3_bind_null_APIName.
To be clear,null,"To be clear: the value is the number of bytes in the value, not the number of characters.","In those routines that have a fourth argument, its value is the number of bytes in the parameter.To be clear: the value is the number of bytes in the value, not the number of characters.If the fourth parameter to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName is negative, then the length of the string is the number of bytes up to the first zero terminator.If the fourth parameter to sqlite3_bind_blob_APIName is negative, then the behavior is undefined.If a non-negative fourth parameter is provided to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName or sqlite3_bind_text64_APIName then that parameter must be the byte offset where the NUL terminator would occur assuming the string were NUL terminated.If any NUL characters occur at byte offsets less than the value of the fourth parameter then the resulting string value will contain embedded NULs.The result of expressions involving strings with embedded NULs is undefined."
the behavior is undefined,if it is used by an SQLITE_DELETE_API_constant callback,This must only be used within SQLITE_INSERT_API_constant and SQLITE_UPDATE_API_constant preupdate callbacks; if it is used by an SQLITE_DELETE_API_constant callback then the behavior is undefined.,The sqlite3_preupdate_new_APIName interface writes into sqlite3_preupdate_new_APIParam_3 a pointer to a protected sqlite3_value that contains the value of the Nth column of the table row after it is updated.The N parameter must be between 0 and one less than the number of columns or the behavior will be undefined.This must only be used within SQLITE_INSERT_API_constant and SQLITE_UPDATE_API_constant preupdate callbacks; if it is used by an SQLITE_DELETE_API_constant callback then the behavior is undefined.The sqlite3_value that P points to will be destroyed when the preupdate callback returns.
"In those routines that have a fourth argument , its value is the number of bytes in the parameter",null,"In those routines that have a fourth argument, its value is the number of bytes in the parameter.","In those routines that have a fourth argument, its value is the number of bytes in the parameter.To be clear: the value is the number of bytes in the value, not the number of characters.If the fourth parameter to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName is negative, then the length of the string is the number of bytes up to the first zero terminator.If the fourth parameter to sqlite3_bind_blob_APIName is negative, then the behavior is undefined.If a non-negative fourth parameter is provided to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName or sqlite3_bind_text64_APIName then that parameter must be the byte offset where the NUL terminator would occur assuming the string were NUL terminated.If any NUL characters occur at byte offsets less than the value of the fourth parameter then the resulting string value will contain embedded NULs.The result of expressions involving strings with embedded NULs is undefined."
The result of expressions involving strings with embedded NULs is undefined,null,The result of expressions involving strings with embedded NULs is undefined.,"In those routines that have a fourth argument, its value is the number of bytes in the parameter.To be clear: the value is the number of bytes in the value, not the number of characters.If the fourth parameter to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName is negative, then the length of the string is the number of bytes up to the first zero terminator.If the fourth parameter to sqlite3_bind_blob_APIName is negative, then the behavior is undefined.If a non-negative fourth parameter is provided to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName or sqlite3_bind_text64_APIName then that parameter must be the byte offset where the NUL terminator would occur assuming the string were NUL terminated.If any NUL characters occur at byte offsets less than the value of the fourth parameter then the resulting string value will contain embedded NULs.The result of expressions involving strings with embedded NULs is undefined."
The sqlite3_preupdate_new_APIName interface writes into sqlite3_preupdate_new_APIParam_3 a pointer to a protected sqlite3_value that contains the value of the Nth column of the table row after it is updated,null,The sqlite3_preupdate_new_APIName interface writes into sqlite3_preupdate_new_APIParam_3 a pointer to a protected sqlite3_value that contains the value of the Nth column of the table row after it is updated.,The sqlite3_preupdate_new_APIName interface writes into sqlite3_preupdate_new_APIParam_3 a pointer to a protected sqlite3_value that contains the value of the Nth column of the table row after it is updated.The N parameter must be between 0 and one less than the number of columns or the behavior will be undefined.This must only be used within SQLITE_INSERT_API_constant and SQLITE_UPDATE_API_constant preupdate callbacks; if it is used by an SQLITE_DELETE_API_constant callback then the behavior is undefined.The sqlite3_value that P points to will be destroyed when the preupdate callback returns.
"the value is the number of bytes in the value , not the number of characters",null,"To be clear: the value is the number of bytes in the value, not the number of characters.","In those routines that have a fourth argument, its value is the number of bytes in the parameter.To be clear: the value is the number of bytes in the value, not the number of characters.If the fourth parameter to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName is negative, then the length of the string is the number of bytes up to the first zero terminator.If the fourth parameter to sqlite3_bind_blob_APIName is negative, then the behavior is undefined.If a non-negative fourth parameter is provided to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName or sqlite3_bind_text64_APIName then that parameter must be the byte offset where the NUL terminator would occur assuming the string were NUL terminated.If any NUL characters occur at byte offsets less than the value of the fourth parameter then the resulting string value will contain embedded NULs.The result of expressions involving strings with embedded NULs is undefined."
the behavior is undefined,if it is used by an SQLITE_INSERT_API_constant callback,This must only be used within SQLITE_UPDATE_API_constant and SQLITE_DELETE_API_constant preupdate callbacks; if it is used by an SQLITE_INSERT_API_constant callback then the behavior is undefined.,The sqlite3_preupdate_old_APIName interface writes into sqlite3_preupdate_old_APIParam_3 a pointer to a protected sqlite3_value that contains the value of the Nth column of the table row before it is updated.The N parameter must be between 0 and one less than the number of columns or the behavior will be undefined.This must only be used within SQLITE_UPDATE_API_constant and SQLITE_DELETE_API_constant preupdate callbacks; if it is used by an SQLITE_INSERT_API_constant callback then the behavior is undefined.The sqlite3_value that P points to will be destroyed when the preupdate callback returns.
using the sqlite3_bind_parameter_index_APIName API,if desired,The index for named parameters can be looked up using the sqlite3_bind_parameter_index_APIName API if desired.,"The second argument is the index of the SQL parameter to be set.The leftmost SQL parameter has an index of 1.When the same named SQL parameter is used more than once, second and subsequent occurrences have the same index as the first occurrence.The index for named parameters can be looked up using the sqlite3_bind_parameter_index_APIName API if desired.The index for ""?NNN"" parameters is the value of NNN.The NNN value must be between 1 and the sqlite3_limit_APIName parameter SQLITE_LIMIT_VARIABLE_NUMBER_API_constant (default value: 999)."
The index for named parameters can be looked up,null,The index for named parameters can be looked up using the sqlite3_bind_parameter_index_APIName API if desired.,"The second argument is the index of the SQL parameter to be set.The leftmost SQL parameter has an index of 1.When the same named SQL parameter is used more than once, second and subsequent occurrences have the same index as the first occurrence.The index for named parameters can be looked up using the sqlite3_bind_parameter_index_APIName API if desired.The index for ""?NNN"" parameters is the value of NNN.The NNN value must be between 1 and the sqlite3_limit_APIName parameter SQLITE_LIMIT_VARIABLE_NUMBER_API_constant (default value: 999)."
The sqlite3_bind_zeroblob_APIName routine binds a BLOB of length N that is filled with zeroes,null,The sqlite3_bind_zeroblob_APIName routine binds a BLOB of length N that is filled with zeroes.,The sqlite3_bind_zeroblob_APIName routine binds a BLOB of length N that is filled with zeroes.A zeroblob uses a fixed amount of memory (just an integer to hold its size) while it is being processed.Zeroblobs are intended to serve as placeholders for BLOBs whose content is later written using incremental BLOB I/O routines.A negative value for the zeroblob results in a zero-length BLOB.
A negative value for the zeroblob results in a zero-length BLOB,null,A negative value for the zeroblob results in a zero-length BLOB.,The sqlite3_bind_zeroblob_APIName routine binds a BLOB of length N that is filled with zeroes.A zeroblob uses a fixed amount of memory (just an integer to hold its size) while it is being processed.Zeroblobs are intended to serve as placeholders for BLOBs whose content is later written using incremental BLOB I/O routines.A negative value for the zeroblob results in a zero-length BLOB.
"In the SQL statement text input to sqlite3_prepare_v2_APIName and its variants , literals may be replaced by a parameter that matches one of following templates",null,"In the SQL statement text input to sqlite3_prepare_v2_APIName and its variants, literals may be replaced by a parameter that matches one of following templates:","In the SQL statement text input to sqlite3_prepare_v2_APIName and its variants, literals may be replaced by a parameter that matches one of following templates:"
Bindings are not cleared by the sqlite3_reset_APIName routine,null,Bindings are not cleared by the sqlite3_reset_APIName routine.,Bindings are not cleared by the sqlite3_reset_APIName routine.Unbound parameters are interpreted as NULL.
Zeroblobs are intended to serve as placeholders for BLOBs whose content is later written using incremental BLOB I/O routines,null,Zeroblobs are intended to serve as placeholders for BLOBs whose content is later written using incremental BLOB I/O routines.,The sqlite3_bind_zeroblob_APIName routine binds a BLOB of length N that is filled with zeroes.A zeroblob uses a fixed amount of memory (just an integer to hold its size) while it is being processed.Zeroblobs are intended to serve as placeholders for BLOBs whose content is later written using incremental BLOB I/O routines.A negative value for the zeroblob results in a zero-length BLOB.
Unbound parameters are interpreted as NULL,null,Unbound parameters are interpreted as NULL.,Bindings are not cleared by the sqlite3_reset_APIName routine.Unbound parameters are interpreted as NULL.
The sqlite3_bind_pointer_APIName routine is part of the pointer passing interface added for SQLite 3.20.0,null,The sqlite3_bind_pointer_APIName routine is part of the pointer passing interface added for SQLite 3.20.0.,"The sqlite3_bind_pointer_APIName routine causes the I-th parameter in prepared statement S to have an SQL value of NULL, but to also be associated with the pointer P of type T.  D is either a NULL pointer or a pointer to a destructor function for P. SQLite will invoke the destructor D with a single argument of P when it is finished using P.  The T parameter should be a static string, preferably a string literal.The sqlite3_bind_pointer_APIName routine is part of the pointer passing interface added for SQLite 3.20.0."
"If sqlite3_bind_value_APIParam_5 has the value SQLITE_TRANSIENT_API_constant, SQLite makes its own private copy of the data immediately, before the sqlite3_bind_*_APIName routine returns",null,"If sqlite3_bind_value_APIParam_5 has the value SQLITE_TRANSIENT_API_constant, then SQLite makes its own private copy of the data immediately, before the sqlite3_bind_*_APIName routine returns.","The fifth argument to the BLOB and string binding interfaces is a destructor used to dispose of the BLOB or string after SQLite has finished with it.The destructor is called to dispose of the BLOB or string even if the call to the bind API fails, except the destructor is not called if sqlite3_bind_int_APIParam_3 is a NULL pointer or the fourth parameter is negative.If the fifth argument is the special value SQLITE_STATIC_API_constant, then SQLite assumes that the information is in static, unmanaged space and does not need to be freed.If sqlite3_bind_value_APIParam_5 has the value SQLITE_TRANSIENT_API_constant, then SQLite makes its own private copy of the data immediately, before the sqlite3_bind_*_APIName routine returns."
The sqlite3_bind_* routines return SQLITE_OK_API_constant on success or an error code if anything goes wrong,null,The sqlite3_bind_* routines return SQLITE_OK_API_constant on success or an error code if anything goes wrong.,The sqlite3_bind_* routines return SQLITE_OK_API_constant on success or an error code if anything goes wrong.SQLITE_TOOBIG_API_constant might be returned if the size of a string or BLOB exceeds limits imposed by sqlite3_limit_APIName or SQLITE_MAX_LENGTH.SQLITE_RANGE_API_constant is returned by sqlite3_bind_text_APIName if the parameter index is out of range.SQLITE_NOMEM_API_constant be returned by sqlite3_bind_value_APIName if malloc_APIName fails.
the behavior is undefined,If the fourth parameter to sqlite3_bind_blob_APIName is negative,"If the fourth parameter to sqlite3_bind_blob_APIName is negative, then the behavior is undefined.","In those routines that have a fourth argument, its value is the number of bytes in the parameter.To be clear: the value is the number of bytes in the value, not the number of characters.If the fourth parameter to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName is negative, then the length of the string is the number of bytes up to the first zero terminator.If the fourth parameter to sqlite3_bind_blob_APIName is negative, then the behavior is undefined.If a non-negative fourth parameter is provided to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName or sqlite3_bind_text64_APIName then that parameter must be the byte offset where the NUL terminator would occur assuming the string were NUL terminated.If any NUL characters occur at byte offsets less than the value of the fourth parameter then the resulting string value will contain embedded NULs.The result of expressions involving strings with embedded NULs is undefined."
SQLITE_RANGE_API_constant is returned by sqlite3_bind_text_APIName if the parameter index is out of range,null,SQLITE_RANGE_API_constant is returned by sqlite3_bind_text_APIName if the parameter index is out of range.,The sqlite3_bind_* routines return SQLITE_OK_API_constant on success or an error code if anything goes wrong.SQLITE_TOOBIG_API_constant might be returned if the size of a string or BLOB exceeds limits imposed by sqlite3_limit_APIName or SQLITE_MAX_LENGTH.SQLITE_RANGE_API_constant is returned by sqlite3_bind_text_APIName if the parameter index is out of range.SQLITE_NOMEM_API_constant be returned by sqlite3_bind_value_APIName if malloc_APIName fails.
SQLITE_NOMEM_API_constant be returned by sqlite3_bind_value_APIName if malloc_APIName fails,null,SQLITE_NOMEM_API_constant be returned by sqlite3_bind_value_APIName if malloc_APIName fails.,The sqlite3_bind_* routines return SQLITE_OK_API_constant on success or an error code if anything goes wrong.SQLITE_TOOBIG_API_constant might be returned if the size of a string or BLOB exceeds limits imposed by sqlite3_limit_APIName or SQLITE_MAX_LENGTH.SQLITE_RANGE_API_constant is returned by sqlite3_bind_text_APIName if the parameter index is out of range.SQLITE_NOMEM_API_constant be returned by sqlite3_bind_value_APIName if malloc_APIName fails.
A zeroblob uses a fixed amount of memory,while it is being processed,A zeroblob uses a fixed amount of memory (just an integer to hold its size) while it is being processed.,The sqlite3_bind_zeroblob_APIName routine binds a BLOB of length N that is filled with zeroes.A zeroblob uses a fixed amount of memory (just an integer to hold its size) while it is being processed.Zeroblobs are intended to serve as placeholders for BLOBs whose content is later written using incremental BLOB I/O routines.A negative value for the zeroblob results in a zero-length BLOB.
second and subsequent occurrences have the same index as the first occurrence,When the same named SQL parameter is used more than once,"When the same named SQL parameter is used more than once, second and subsequent occurrences have the same index as the first occurrence.","The second argument is the index of the SQL parameter to be set.The leftmost SQL parameter has an index of 1.When the same named SQL parameter is used more than once, second and subsequent occurrences have the same index as the first occurrence.The index for named parameters can be looked up using the sqlite3_bind_parameter_index_APIName API if desired.The index for ""?NNN"" parameters is the value of NNN.The NNN value must be between 1 and the sqlite3_limit_APIName parameter SQLITE_LIMIT_VARIABLE_NUMBER_API_constant (default value: 999)."
See also,null,"See also: sqlite3_bind_parameter_count_APIName, sqlite3_bind_parameter_name_APIName, and sqlite3_bind_parameter_index_APIName.","See also: sqlite3_bind_parameter_count_APIName, sqlite3_bind_parameter_name_APIName, and sqlite3_bind_parameter_index_APIName."
SQLITE_TOOBIG_API_constant might be returned if the size of a string or BLOB exceeds limits imposed by sqlite3_limit_APIName or SQLITE_MAX_LENGTH,null,SQLITE_TOOBIG_API_constant might be returned if the size of a string or BLOB exceeds limits imposed by sqlite3_limit_APIName or SQLITE_MAX_LENGTH.,The sqlite3_bind_* routines return SQLITE_OK_API_constant on success or an error code if anything goes wrong.SQLITE_TOOBIG_API_constant might be returned if the size of a string or BLOB exceeds limits imposed by sqlite3_limit_APIName or SQLITE_MAX_LENGTH.SQLITE_RANGE_API_constant is returned by sqlite3_bind_text_APIName if the parameter index is out of range.SQLITE_NOMEM_API_constant be returned by sqlite3_bind_value_APIName if malloc_APIName fails.
"sqlite3_bind_parameter_count_APIName , sqlite3_bind_parameter_name_APIName , and sqlite3_bind_parameter_index_APIName",null,"See also: sqlite3_bind_parameter_count_APIName, sqlite3_bind_parameter_name_APIName, and sqlite3_bind_parameter_index_APIName.","See also: sqlite3_bind_parameter_count_APIName, sqlite3_bind_parameter_name_APIName, and sqlite3_bind_parameter_index_APIName."
But global versions of those functions must exist,null,But global versions of those functions must exist  .,Virtual tables can provide alternative implementations of functions using the xFindFunction method of the virtual table module.But global versions of those functions must exist in order to be overloaded.
So the new function is not good for anything by itself,null,So the new function is not good for anything by itself.,"This API makes sure a global version of a function with a particular name and number of parameters exists.If no such function exists before this API is called, a new function is created.The implementation of the new function always causes an exception to be thrown.So the new function is not good for anything by itself.Its only purpose is to be a placeholder function that can be overloaded by a virtual table."
"The sixth argument to sqlite3_bind_text64_APIName must be one of SQLITE_UTF8_API_constant , SQLITE_UTF16_API_constant , SQLITE_UTF16_API_constantBE , or SQLITE_UTF16_API_constantLE to specify the encoding of the text in the third parameter",null,"The sixth argument to sqlite3_bind_text64_APIName must be one of SQLITE_UTF8_API_constant, SQLITE_UTF16_API_constant, SQLITE_UTF16_API_constantBE, or SQLITE_UTF16_API_constantLE to specify the encoding of the text in the third parameter.","The sixth argument to sqlite3_bind_text64_APIName must be one of SQLITE_UTF8_API_constant, SQLITE_UTF16_API_constant, SQLITE_UTF16_API_constantBE, or SQLITE_UTF16_API_constantLE to specify the encoding of the text in the third parameter.If the sixth argument to sqlite3_bind_text64_APIName is not one of the allowed values shown above, or if the text encoding is different from the encoding specified by the sixth parameter, then the behavior is undefined."
The implementation of the new function always causes an exception to be thrown,null,The implementation of the new function always causes an exception to be thrown.,"This API makes sure a global version of a function with a particular name and number of parameters exists.If no such function exists before this API is called, a new function is created.The implementation of the new function always causes an exception to be thrown.So the new function is not good for anything by itself.Its only purpose is to be a placeholder function that can be overloaded by a virtual table."
The fifth argument to the BLOB and string binding interfaces is a destructor used to dispose of the BLOB or string after SQLite has finished with it,null,The fifth argument to the BLOB and string binding interfaces is a destructor used to dispose of the BLOB or string after SQLite has finished with it.,"The fifth argument to the BLOB and string binding interfaces is a destructor used to dispose of the BLOB or string after SQLite has finished with it.The destructor is called to dispose of the BLOB or string even if the call to the bind API fails, except the destructor is not called if sqlite3_bind_int_APIParam_3 is a NULL pointer or the fourth parameter is negative.If the fifth argument is the special value SQLITE_STATIC_API_constant, then SQLite assumes that the information is in static, unmanaged space and does not need to be freed.If sqlite3_bind_value_APIParam_5 has the value SQLITE_TRANSIENT_API_constant, then SQLite makes its own private copy of the data immediately, before the sqlite3_bind_*_APIName routine returns."
Virtual tables can provide alternative implementations of functions using the xFindFunction method of the virtual table module,null,Virtual tables can provide alternative implementations of functions using the xFindFunction method of the virtual table module.,Virtual tables can provide alternative implementations of functions using the xFindFunction method of the virtual table module.But global versions of those functions must exist in order to be overloaded.
the fourth parameter is ignored,If the third parameter to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName or sqlite3_bind_blob_APIName is a NULL pointer,If the third parameter to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName or sqlite3_bind_blob_APIName is a NULL pointer then the fourth parameter is ignored and the end result is the same as sqlite3_bind_null_APIName.,The third argument is the value to bind to the parameter.If the third parameter to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName or sqlite3_bind_blob_APIName is a NULL pointer then the fourth parameter is ignored and the end result is the same as sqlite3_bind_null_APIName.
and the end result is the same as sqlite3_bind_null_APIName,null,If the third parameter to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName or sqlite3_bind_blob_APIName is a NULL pointer then the fourth parameter is ignored and the end result is the same as sqlite3_bind_null_APIName.,The third argument is the value to bind to the parameter.If the third parameter to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName or sqlite3_bind_blob_APIName is a NULL pointer then the fourth parameter is ignored and the end result is the same as sqlite3_bind_null_APIName.
The callback registered by sqlite3_wal_autocheckpoint_APIName replaces any existing callback registered using sqlite3_wal_hook_APIName,null,The callback registered by sqlite3_wal_autocheckpoint_APIName replaces any existing callback registered using sqlite3_wal_hook_APIName.,"The callback registered by sqlite3_wal_autocheckpoint_APIName replaces any existing callback registered using sqlite3_wal_hook_APIName.Likewise, registering a callback using sqlite3_wal_hook_APIName disables the automatic checkpoint mechanism configured by sqlite3_wal_autocheckpoint_APIName."
Its only purpose is to be a placeholder function that can be overloaded by a virtual table,null,Its only purpose is to be a placeholder function that can be overloaded by a virtual table.,"This API makes sure a global version of a function with a particular name and number of parameters exists.If no such function exists before this API is called, a new function is created.The implementation of the new function always causes an exception to be thrown.So the new function is not good for anything by itself.Its only purpose is to be a placeholder function that can be overloaded by a virtual table."
